title;banner;clearnet;tor;i2p
Yukinu;yukinu.gif;https://yukinu.com;;
Alienozi's Website for Electonics;alienozi.png;http://alienozi.xyz;;
Fenix;fenix.png;https://3xf.eu;;
tinfoil-hat;tinfoil-hat.png;https://tinfoil-hat.net;http://x3zf5cyqvutslx6yfdwip3nb2xo4kaevhk6bbeas74ky7cvgr36bf6yd.onion;
Nightt's retro art;nightt.gif;https://nightt.neocities.org;;
Alice In Wonderland Syndrome;aiws.png;https://volta.neocities.org;;
Jake's thoughts;jakesthoughts.gif;https://jakesthoughts.xyz;http://y5wnzw4e6i7srm2gqadlow5anhlaj5avdkzbwzbmrxwkygxdp7ffieqd.onion;http://jakesthoughts.i2p
Jake's mail;jakes-mail.gif;https://jakes-mail.top;;
getimiskon's space;getimiskon.png;https://getimiskon.xyz;http://6dpjae254fbchoa53e2ypxh6noqjgjkz5iadwy6hlar6egb76m3uihid.onion;http://wjh66n7sdq4drpvs6qlucsmohc33eix2japrcwyhpxyanywdgy4q.b32.i2p
MayVaneDay Studios;mayvaneday-org.png;https://mayvaneday.org;http://meynethaffeecapsvfphrcnfrx44w2nskgls2juwitibvqctk2plvhqd.onion;http://zli2qsg54w7y42vgw4xxlnj4nktcpg7xp33yjxkp33sjafvznbwa.b32.i2p
Se7en's site;se7en-site.png;https://se7en-site.neocities.org;;
lich's website;lich.png;https://dataswamp.org/~lich;;
Radio Chupacabra;radio-chupacabra.png;http://radioccc.xyz;;
uwcur;uwcur.png;https://uwcur.neocities.org/;;
Saltorn;saltorn.png;https://saltorn.neocities.org;;
J. Frank Parnell;parnell.png;https://tilde.club/~parnell;;
Urist;deurist.png;https://deurist.neocities.org;;
saturnexplorers;tohya.png;https://tohya.net;;
Kyubit;kyubit.png;https://kyubit.neocities.org;;
Grafo;grafo.png;https://grafo.zone;;
Strings From The Network;sftn.png;https://sftn.github.io;;
Lilibyte;lilibyte.gif;https://lilibyte.net;http://23xyglk2g4y2fdtrpm4wo3rvrq2gt2ar7f3pyyt7ikeywdq5kpbheuyd.onion;
satorialistic;strlst.png;https://strlst.myogaya.jp/index.html;;
Slime-Net;slime-net.gif;https://skumsoft.ltd/slimenet;;
Bendersteed;bendersteed.jpg;https://bendersteed.tech;;
The Swiss Bay;the-swiss-bay.jpg;https://theswissbay.ch/pdf;http://swissbaync5d7ykaz7dh7v4qjrb4gmen5aj3bogxrcgbb43ij34bjuyd.onion/pdf;
SIX10;six10.png;https://six10.pw;;
J@ck#91;jack91.gif;https://jack---91.neocities.org;;
Flammable Duck;flammable-duck.png;https://flammableduck.xyz;;
Gap and friends;gap-and-friends.png;https://gapandfriends.neocities.org;;
purplevoid;purplevoid.png;https://purplevoid.neocities.org;;
unix.tirol;unix-tirol.png;https://unix.tirol;;
Shrine of Hakase;shrine-of-hakase.gif;https://hakase-shrine.cf;;
The Extramundane;extramundane.jpg;https://extramundane.xyz;;
Omicron Setup;omicron-setup.gif;https://omicronsetup.eu;;
WorkingSea;workingsea.png;https://workingsea.neocities.org;;
Luke's Cabin;lukes-cabin.png;https://lukescabin.neocities.org;;
Protocol 7;protocol7.png;https://protocol7.xyz;;
Tard Zone;tard-zone.gif;https://tard.zone;;
Beedge;beedge.png;https://beedge.neocities.org;;
0x1bi;0x1bi.png;https://0x1bi.net;;
Dead End Shrine Online;dead-end-shrine.png;https://deadendshrine.online;http://blapi36sowfyuwzp4ag24xb3d4zdrzgtafez3g3lkp2rj4ho7lxhceid.onion;http://2a55el42cobuxtls7iv6eoimejocybdekwnnaefcn4u2f5eydela.b32.i2p
Digilord;digilord.gif;https://digilord.neocities.org;;
Godcock;godcock.jpg;https://godcock.neocities.org;;
Michi;michi.png;https://michii.tk;;
Erratas;erratas.gif;https://erratas.neocities.org/;;
No Sleep;no-sleep.png;https://nosleepforme.neocities.org;;
Room 4;room-4.jpg;https://room4.neocities.org;;
hen6003;hen6003.png;https://hen6003.xyz;;
Slushbin;slushbin.gif;https://slushbin.org;;
mm4rk3t;mm4rk3t.gif;https://mm4rk3t.neocities.org;;
kassy;kassy.jpg;https://kassy.neocities.org;;
Cabbage Sorter;cabbage-sorter.png;https://cabbagesorter.neocities.org;;
xiixiixii;xiixiixii.gif;https://xiixiixii.xyz;;
oedo808;oedo808.gif;https://oedo808.neocities.org;;
xn-neko;xn-neko.gif;https://xn--z7x.xn--6frz82g;;
jole;jole.png;https://jole.xyz;;
Confusion's Confusing Confusefest;confusion.png;https://confusion.codeberg.page;;
Morituri Te Salutant;morituri-te-salutant.jpg;https://morituritesalutant.neocities.org;;
Oversteer;oversteer.png;https://oversteer.xyz;;
lain.la;lain-la.png;https://lain.la;;
arisu.world;arisu-world.png;https://arisu.world;;
Unpop;unpop.gif;https://unpop.neocities.org;;
Driftt;driftt.png;https://driftt.neocities.org;;
Chaox;chaox.png;https://chaox.ro;http://chaoxuo7g4tqdyeikjo6jaa6dmk34vmdp3s577hgeusuntmcfd4xaxqd.onion;http://6bcqgkedaq2krrhvidjlmdsoltmzuwaqtrafycfzbc56h5swumoq.b32.i2p
cached.world;cached-world.png;https://cached.world/blog;;
Evergreen;evergreen.png;https://itsevergreen.rip;;
Mazak;mazak.png;https://mazak.neocities.org;;
Small Thoughts;small-thoughts.jpg;https://smolthots.neocities.org;;
Spectrum of Consciousness;spectrum-of-consciousness.gif;https://spectrum-of-consciousness.neocities.org;;
Liberty Witch;liberty-witch.png;https://libertywitch.com;http://mlucvtipzluwceniyzwxt52a3wdvu3t3ahdshht3sctc6hs4o2umqjad.onion;
Seapunk;seapunk.gif;https://seapunk.xyz;http://seapunkltrahptcvv45lyws754uk64l3ywssuzil2ghk77k276dvtvqd.onion/;
Ty3r0x;ty3r0x.png;https://ty3r0x.chaox.ro;;
lckdscl;lckdscl.png;https://lckdscl.xyz;;
qmaury;qmaury.jpg;https://qmaury.com;;
size of cat;sizeofcat.jpeg;https://sizeof.cat;http://sizeofaex6zgovemvemn2g3jfmgujievmxxxbcgnbrnmgcjcjpiiprqd.onion;
galladite;galladite.gif;https://galladite.net/~galladite;;
halogen stars;halogen-stars.png;https://halogenstars.neocities.org;;
Kirillov;kirillov.png;https://kirillov.neocities.org;;
nerdbox;nerdbox.png;https://nerdbox.neocities.org;;
orizuru;orizuru.png;https://orizuru.neocities.org;;
rain;rain.png;https://rainisnot.neocities.org;;
tocxjo;tocxjo.gif;https://tilde.team/~lemon;;
ophanim;ophanim.gif;https://ophanim.neocities.org;;
New Digital Era;new-digital-era.png;https://newdigitalera.neocities.org;;
adacayiseverim;adacayiseverim.png;https://adacayiseverim.neocities.org;;
Kati;kati.gif;https://e3-l18-3.xyz/;;
Heimdall;heimdall.gif;https://heimdall.pm;http://csuefmnnyexsopqtxs2lwrjiffpnndabyfrhz7j6z7d3bmt567ws4pqd.onion;
Minu ga hana;minugahana.png;https://minugahana.neocities.org;;
Coarse Enigma;coarseenigma.png;;http://cgjzkysxa4ru5rhrtr6rafckhexbisbtxwg2fg743cjumioysmirhdad.onion;
Hidden Route;hidden-route.gif;;http://ubnm4kfxmjglxh2zrlunbxubg3knzr6wumixzkl5xmkc7h5oho4lx4qd.onion;http://6wtwgsezmmiwubp23abh2iwdpyteipmn5nwzgfwrcnygwvmthmzq.b32.i2p
pk33;pk33.png;;http://aiboswcb66bivz36uoobhuicyn6gyilnrut4xw2jiowqhzwrjdazajid.onion;http://amw3v23sfnh6koi6a2pjkevqqdwnoe32cfkifanddis7c7aa27mq.b32.i2p
Korosama;korosama.gif;https://korosama.xyz/;;
Nomadalgia;nomadalgia.gif;https://nomadalgia.xyz/;;
urof;urof.gif;https://urof.net;http://urofnon3layyes5wworh3x3i4wmgdm4livdn2qiedpsetujfxegmg4qd.onion;http://oztmbptelqcuj5ic5ogh7yccdokaordeocthrn56r6v3cqtksaba.b32.i2p
The crypt;thecrypt.gif;https://thecrypt.neocities.org/;;
cosmica123;cosmica123.png;https://cosmica123.neocities.org/;;
cozynet;cozynet.gif;https://www.cozynet.org/;;
tyxton.net;tyxton.png;https://www.tyxton.net;;
s-config;s-config.png;https://www.s-config.com/;http://xjfbpuj56rdazx4iolylxplbvyft2onuerjeimlcqwaihp3s6r4xebqd.onion/;
trrb;trrb.png;https://trrb.xyz/;; 
